loan_id,age,annual_income,loan_amount,loan_term_months,interest_rate,credit_score,employment_years,num_credit_lines,debt_to_income,loan_purpose,home_ownership,default
L00001,60,89135,42725,24,18.45,364,5,1,0.479,car,RENT,0
L00002,50,58956,47434,60,8.47,515,8,8,0.805,education,MORTGAGE,0
L00003,36,80065,22215,12,7.21,325,16,4,0.277,debt_consolidation,RENT,0
L00004,64,18115,12110,48,20.93,343,29,7,0.669,debt_consolidation,MORTGAGE,1
L00005,29,69655,42112,24,19.76,389,19,4,0.605,education,MORTGAGE,1
L00006,42,42120,23555,12,11.22,432,15,7,0.559,home_improvement,RENT,1
L00007,60,41832,18462,12,17.51,460,25,1,0.441,home_improvement,OWN,0
L00008,40,50529,15696,36,7.36,679,28,1,0.311,vacation,MORTGAGE,0
L00009,44,29357,3031,60,14.63,560,25,2,0.103,debt_consolidation,OWN,0
L00010,32,62970,25765,48,5.36,682,11,5,0.409,home_improvement,RENT,0
L00011,32,58432,49858,60,12.44,668,17,6,0.853,debt_consolidation,OWN,0
L00012,45,59791,17816,36,6.42,410,8,2,0.298,debt_consolidation,OWN,0
L00013,57,70966,19868,48,14.03,376,2,1,0.28,car,MORTGAGE,0
L00014,61,82266,12437,48,13.01,508,9,9,0.151,car,MORTGAGE,0
L00015,45,48453,17453,24,13.44,312,10,7,0.36,education,RENT,0
L00016,24,63592,24222,48,5.86,847,1,8,0.381,debt_consolidation,RENT,0
L00017,43,60273,16258,12,11.87,324,7,6,0.27,car,RENT,0
L00018,23,61797,36318,60,19.37,845,19,9,0.588,education,MORTGAGE,0
L00019,45,62066,14977,60,12.01,439,10,8,0.241,home_improvement,OWN,0
L00020,51,83629,39450,24,18.59,574,17,4,0.472,debt_consolidation,MORTGAGE,0
L00021,59,46725,49207,48,12.02,669,19,5,1.053,car,RENT,0
L00022,23,27536,20213,36,13.04,521,6,2,0.734,home_improvement,MORTGAGE,0
L00023,42,42438,38519,12,15.71,336,13,1,0.908,debt_consolidation,RENT,0
L00024,54,68630,47682,24,23.06,428,6,6,0.695,education,MORTGAGE,0
L00025,33,55419,12223,48,7.07,615,0,3,0.221,debt_consolidation,OWN,0
L00026,43,46583,41369,36,5.63,622,28,4,0.888,car,MORTGAGE,0
L00027,46,35623,22843,48,16.55,732,11,1,0.641,home_improvement,RENT,0
L00028,48,58983,5856,24,23.03,517,27,6,0.099,debt_consolidation,MORTGAGE,0
L00029,63,66601,14661,36,23.8,547,0,8,0.22,debt_consolidation,RENT,0
L00030,49,60505,17591,36,14.2,410,2,4,0.291,education,RENT,0
L00031,37,50440,8182,36,13.89,446,1,8,0.162,vacation,RENT,0
L00032,36,57639,9970,36,17.25,643,2,3,0.173,debt_consolidation,OWN,0
L00033,24,57535,49922,48,15.56,808,3,7,0.868,vacation,RENT,0
L00034,58,58414,36862,36,17.05,804,13,3,0.631,vacation,RENT,0
L00035,28,33682,32755,48,21.61,433,22,6,0.972,home_improvement,OWN,0
L00036,42,58551,46863,36,19.18,763,17,4,0.8,medical,RENT,0
L00037,30,47069,21416,36,14.44,490,22,6,0.455,education,RENT,0
L00038,60,73731,15672,24,13.78,462,4,7,0.213,vacation,OWN,0
L00039,39,57392,19932,48,17.15,755,14,8,0.347,home_improvement,RENT,0
L00040,25,70038,48996,48,13.66,360,15,6,0.7,education,RENT,1
L00041,46,49567,10559,60,13.7,304,7,4,0.213,car,MORTGAGE,0
L00042,35,50217,2064,24,5.31,336,23,9,0.041,vacation,RENT,0
L00043,30,81896,5299,48,8.31,759,20,7,0.065,medical,MORTGAGE,0
L00044,47,62854,6849,24,14.28,516,25,9,0.109,car,RENT,0
L00045,23,42138,7639,24,20.63,438,7,3,0.181,education,MORTGAGE,0
L00046,41,71145,13055,24,10.3,398,27,5,0.183,vacation,RENT,0
L00047,49,45400,24058,12,14.93,563,29,1,0.53,vacation,MORTGAGE,0
L00048,28,59062,31427,48,11.55,523,24,8,0.532,medical,OWN,0
L00049,29,88060,18980,24,6.99,310,6,1,0.216,debt_consolidation,RENT,0
L00050,56,29236,12866,12,23.21,626,5,1,0.44,medical,RENT,0
L00051,35,51835,5889,12,21.24,649,6,7,0.114,home_improvement,RENT,0
L00052,38,62348,33335,36,6.49,678,22,8,0.535,home_improvement,RENT,0
L00053,57,68764,28162,36,18.68,530,18,3,0.41,medical,RENT,0
L00054,61,32657,25913,48,11.6,440,21,2,0.793,medical,MORTGAGE,0
L00055,25,27355,26687,36,23.9,348,21,7,0.976,medical,RENT,0
L00056,23,74633,35220,48,10.75,750,26,5,0.472,medical,RENT,0
L00057,27,42032,12995,12,9.54,790,24,1,0.309,medical,MORTGAGE,0
L00058,63,41278,4631,12,15.79,504,0,2,0.112,vacation,MORTGAGE,0
L00059,25,82904,36954,48,20.87,708,12,3,0.446,education,RENT,0
L00060,50,56254,7967,36,8.66,706,6,6,0.142,education,MORTGAGE,0
L00061,39,56372,24758,36,18.48,350,0,1,0.439,car,OWN,0
L00062,47,51763,23742,48,6.17,474,9,8,0.459,home_improvement,RENT,0
L00063,55,32968,39116,60,22.46,560,12,2,1.186,home_improvement,RENT,0
L00064,31,67162,28580,36,6.54,779,3,5,0.426,education,RENT,0
L00065,57,62370,36227,24,22.37,522,28,8,0.581,education,RENT,0
L00066,35,58036,3942,36,14.33,568,6,5,0.068,car,RENT,0
L00067,52,52906,49664,60,13.51,617,5,8,0.939,medical,RENT,0
L00068,36,49738,30069,12,23.49,684,5,6,0.605,education,OWN,0
L00069,29,71424,23806,12,23.82,518,20,7,0.333,education,MORTGAGE,0
L00070,35,52456,16407,12,17.35,353,10,8,0.313,car,OWN,0
L00071,44,53846,16557,36,7.42,499,22,3,0.307,medical,MORTGAGE,0
L00072,61,64538,18445,12,14.62,638,8,5,0.286,home_improvement,MORTGAGE,0
L00073,42,58743,19878,60,15.05,604,29,7,0.338,education,MORTGAGE,0
L00074,37,84560,19564,60,14.77,544,21,9,0.231,debt_consolidation,MORTGAGE,0
L00075,39,23295,15093,36,15.82,507,25,6,0.648,home_improvement,RENT,0
L00076,45,60398,37556,24,5.36,810,6,1,0.622,home_improvement,RENT,0
