year,country,avg_temp_c,co2_emissions_mt,renewable_pct,gdp_billion_usd,population_m,energy_use_twh
1990,United States,17.15,258.5,16.0,10049.2,1032.8,4166.0
1991,United States,17.51,280.6,15.3,20356.0,250.4,3795.5
1992,United States,17.2,269.8,16.7,11886.4,1167.5,4522.8
1993,United States,18.11,257.4,18.8,21203.1,1163.7,2604.1
1994,United States,17.88,292.7,19.4,12008.3,892.7,2243.2
1995,United States,17.41,239.7,17.2,8588.7,516.9,843.9
1996,United States,17.43,263.1,17.7,9706.3,544.1,214.7
1997,United States,17.52,281.3,24.5,24829.3,316.9,2634.2
1998,United States,17.55,303.8,22.6,7751.9,834.9,2730.4
1999,United States,17.17,303.9,21.7,25237.3,612.2,3960.2
2000,United States,16.89,329.5,25.6,12375.2,805.5,2365.0
2001,United States,18.18,352.6,24.7,24116.8,1492.1,779.8
2002,United States,18.03,263.5,20.4,9001.3,1279.0,2963.6
2003,United States,17.51,315.1,22.6,16171.0,185.9,5141.9
2004,United States,17.69,309.0,28.4,6002.2,459.8,450.3
2005,United States,17.82,285.8,31.6,25900.7,486.9,1322.6
2006,United States,17.58,368.0,33.8,7714.7,395.1,3224.7
2007,United States,17.58,237.6,32.4,23757.9,1027.9,5583.2
2008,United States,18.16,308.3,36.5,16937.7,996.3,4414.4
2009,United States,18.09,237.1,37.1,26361.5,731.4,2964.0
2010,United States,18.07,273.5,30.3,27466.8,461.6,3826.7
2011,United States,17.7,353.9,27.7,19209.0,1490.8,3432.0
2012,United States,17.79,261.2,33.8,20238.9,403.3,3958.2
2013,United States,17.95,446.3,33.1,6577.7,668.4,2140.2
2014,United States,17.8,288.2,23.6,19657.2,955.2,2878.4
2015,United States,18.34,413.3,23.7,23926.0,1486.5,1629.5
2016,United States,18.03,456.0,32.2,11904.9,1138.9,1015.0
2017,United States,18.09,422.8,36.9,5870.7,1454.7,842.7
2018,United States,18.33,253.3,35.8,27207.4,1150.7,2552.8
2019,United States,18.7,354.3,46.3,21203.3,923.5,1670.6
2020,United States,17.95,317.0,33.3,19925.9,852.0,1634.0
2021,United States,18.48,408.0,25.2,17087.0,1714.4,3936.5
2022,United States,17.87,302.9,42.5,3875.8,1066.4,3747.0
2023,United States,18.28,510.9,36.5,20365.7,1044.6,4323.7
1990,China,14.05,427.0,14.4,6809.1,1078.2,2251.4
1991,China,13.93,451.8,15.9,23163.0,646.0,4026.7
1992,China,14.06,432.9,16.5,24955.0,790.9,4281.0
1993,China,13.79,450.0,18.6,19567.8,169.6,4452.2
1994,China,13.78,439.1,21.0,781.0,1217.7,6109.9
1995,China,14.07,431.1,20.8,1196.5,1294.2,2893.8
1996,China,14.42,482.9,22.8,18194.3,809.3,1284.2
1997,China,14.14,438.8,18.9,3317.6,198.1,3584.3
1998,China,14.51,428.8,22.8,15041.1,727.9,647.1
1999,China,14.42,468.4,18.7,26760.3,907.6,2706.9
2000,China,14.0,478.6,23.9,3386.1,322.4,4361.4
2001,China,14.25,451.5,29.5,17941.9,719.1,6086.4
2002,China,15.16,508.9,24.9,26475.4,281.4,5882.7
2003,China,14.49,458.7,22.4,20576.6,1119.0,5983.8
2004,China,14.4,547.6,23.6,11877.7,248.7,2153.4
2005,China,14.19,487.0,31.3,9884.7,922.8,5447.2
2006,China,14.67,430.6,27.1,18638.0,1298.0,800.7
2007,China,14.83,411.8,31.8,10429.8,326.0,3165.3
2008,China,14.5,472.4,33.4,9352.4,102.5,1936.2
2009,China,15.02,468.4,25.3,26750.5,591.2,3995.3
2010,China,15.03,538.8,23.2,6230.8,574.4,1668.5
2011,China,14.96,432.2,40.5,19924.8,915.2,1734.3
2012,China,14.96,593.3,33.9,26029.7,389.4,5248.5
2013,China,14.3,550.0,36.5,22314.2,465.2,442.0
2014,China,15.12,577.5,27.7,10800.1,1399.3,3077.9
2015,China,14.92,634.6,44.4,18454.0,1516.4,5886.0
2016,China,15.25,618.2,44.1,12936.3,925.4,3238.1
2017,China,15.42,435.7,25.5,25881.9,768.5,4016.6
2018,China,15.13,468.3,44.8,30520.6,475.7,3727.1
2019,China,14.7,473.9,39.3,16631.7,1078.4,4707.1
2020,China,15.37,691.4,27.4,29799.1,283.8,740.4
2021,China,14.52,377.4,36.6,11138.0,377.3,2503.3
2022,China,14.86,490.1,42.1,19243.7,294.0,7327.7
2023,China,15.72,564.1,36.6,27133.4,1233.0,4212.3
1990,India,19.59,588.7,8.2,24323.3,265.8,4304.6
1991,India,19.63,601.5,8.2,22326.6,1195.9,3331.8
1992,India,19.91,599.5,7.8,5576.6,59.0,3828.6
1993,India,20.29,609.7,10.5,23098.4,600.8,5061.1
1994,India,20.41,610.4,10.5,13362.5,673.0,2368.5
1995,India,19.91,622.6,8.3,6999.2,242.6,5891.5
1996,India,19.65,625.1,11.4,4966.2,1119.7,2784.2
1997,India,19.81,647.4,16.3,20768.7,411.2,3040.5
1998,India,19.89,596.0,15.0,20209.4,856.5,5660.4
1999,India,19.96,633.3,20.0,6265.5,1437.6,3799.9
2000,India,20.68,601.1,15.2,21127.6,327.9,1731.7
2001,India,20.25,661.0,20.7,27954.8,1418.7,1417.8
2002,India,20.24,636.1,15.4,1680.2,1358.7,4546.1
2003,India,20.39,691.2,16.5,12331.0,111.8,3757.8
2004,India,20.2,683.4,17.3,24127.4,340.5,4536.7
2005,India,20.23,650.2,20.8,12842.8,535.8,5960.6
2006,India,20.54,692.8,18.0,9994.3,646.2,5090.4
2007,India,19.77,706.1,27.8,11237.6,88.8,5251.0
2008,India,20.6,649.4,24.4,7694.6,868.3,2234.0
2009,India,20.69,743.5,20.0,12088.4,682.3,5885.7
2010,India,20.42,626.0,24.7,6353.0,845.3,2126.1
2011,India,20.7,545.9,24.6,6185.7,205.7,105.9
2012,India,20.64,701.1,29.7,10826.2,1286.1,1711.9
2013,India,20.16,661.0,36.0,27466.5,1176.1,4305.3
2014,India,20.84,593.8,27.4,28665.3,1691.9,2903.5
2015,India,20.38,699.0,18.5,9191.4,835.4,2832.8
2016,India,20.49,578.2,21.8,23931.6,1141.6,6177.5
2017,India,20.55,725.5,20.2,17310.5,1697.4,2567.7
2018,India,20.52,703.4,27.9,7271.5,464.2,4260.6
2019,India,20.53,669.6,22.8,26153.9,679.8,6367.7
2020,India,21.26,797.5,25.5,29543.4,1200.1,910.2
2021,India,20.8,714.7,31.8,24963.4,1629.2,2782.1
2022,India,21.21,633.7,19.6,2431.4,1427.1,1943.7
2023,India,20.59,792.5,46.0,18827.3,120.2,4384.9
1990,Germany,17.81,412.9,10.1,23982.0,301.5,2270.7
1991,Germany,17.67,428.1,7.4,20541.3,897.2,6032.5
1992,Germany,17.9,449.3,9.9,6491.7,1136.8,5940.3
1993,Germany,17.91,464.8,10.6,21618.4,1293.6,5611.7
1994,Germany,17.38,441.9,11.2,10271.9,146.5,1651.8
1995,Germany,17.98,450.5,10.7,2583.7,88.4,4502.8
1996,Germany,17.01,468.0,13.5,18717.5,419.3,2311.7
1997,Germany,17.58,483.0,16.1,19135.0,1256.9,3402.0
1998,Germany,17.26,449.7,14.8,7052.5,1303.2,6113.1
1999,Germany,17.33,476.2,18.0,27503.6,1039.3,5979.7
2000,Germany,18.0,489.1,17.1,19210.2,355.5,988.8
2001,Germany,17.36,523.0,19.3,15473.8,419.9,155.6
2002,Germany,17.42,516.2,20.5,20524.5,1095.5,716.9
2003,Germany,18.0,435.8,17.8,8934.7,1383.0,5672.7
2004,Germany,17.58,415.0,19.4,7686.9,914.4,4714.3
2005,Germany,18.13,449.8,19.4,6042.8,208.6,1677.4
2006,Germany,18.14,551.0,22.5,25922.9,1299.1,3254.9
2007,Germany,17.86,481.0,20.5,23137.1,1292.9,2928.1
2008,Germany,18.31,512.2,16.4,10338.8,1353.1,902.9
2009,Germany,17.98,528.9,18.2,11055.8,333.4,2969.3
2010,Germany,18.13,603.7,19.2,16411.7,697.0,1123.0
2011,Germany,17.7,548.7,24.8,11277.6,293.5,5106.5
2012,Germany,18.02,474.9,22.3,18643.2,1627.4,5785.3
2013,Germany,18.87,456.0,22.9,6699.9,1406.2,2793.8
2014,Germany,18.53,497.7,35.2,22989.3,119.8,2122.0
2015,Germany,18.0,522.6,36.3,25920.1,658.1,4521.6
2016,Germany,17.94,513.4,26.1,20490.9,1067.8,3770.4
2017,Germany,18.3,518.6,34.6,10402.7,41.9,1952.9
2018,Germany,18.33,643.0,26.1,28387.7,1781.6,6126.4
2019,Germany,18.38,408.3,27.3,34677.3,942.2,5417.2
2020,Germany,18.22,420.9,34.7,6590.0,1005.4,2968.7
2021,Germany,18.5,444.6,39.4,29437.1,362.7,5866.6
2022,Germany,18.13,544.3,33.2,24461.6,1063.8,5370.2
2023,Germany,18.02,428.0,32.9,21995.9,1421.7,4997.4
1990,Brazil,14.54,445.8,11.4,11439.9,310.0,3891.9
1991,Brazil,14.56,437.5,12.8,15838.2,156.5,4694.7
1992,Brazil,14.47,466.9,13.3,24236.3,160.4,4177.2
1993,Brazil,14.48,468.6,13.6,22311.6,311.9,5337.1
1994,Brazil,14.87,463.2,14.9,25806.7,522.2,1139.5
1995,Brazil,14.65,490.2,14.2,8257.2,756.9,4268.1
1996,Brazil,14.91,469.1,17.6,23133.0,547.4,1876.1
1997,Brazil,14.78,431.6,14.8,26621.3,1256.0,3079.8
1998,Brazil,15.19,493.4,19.8,14925.7,707.6,2942.2
1999,Brazil,14.56,483.8,20.7,24289.7,1142.4,594.6
2000,Brazil,14.58,503.5,20.7,13474.2,767.7,1861.6
2001,Brazil,15.29,460.3,24.4,3958.1,1172.2,4464.5
2002,Brazil,15.4,496.5,19.9,4737.7,897.0,2243.4
2003,Brazil,14.29,434.8,16.3,23230.3,1382.2,5741.5
2004,Brazil,15.33,528.3,21.8,14203.7,480.1,2244.0
2005,Brazil,15.21,453.7,27.2,10315.6,1003.1,1849.8
2006,Brazil,15.4,481.6,20.0,8975.8,1189.9,1422.3
2007,Brazil,15.31,518.0,21.3,12592.5,660.4,2433.1
2008,Brazil,15.39,495.0,32.5,24211.7,380.6,1257.7
2009,Brazil,15.03,496.8,29.7,9074.4,849.9,2311.0
2010,Brazil,15.26,473.6,28.6,21852.8,1338.5,1367.4
2011,Brazil,14.98,573.5,22.8,16882.6,92.7,3667.0
2012,Brazil,15.35,623.0,19.3,17966.8,682.6,4716.3
2013,Brazil,15.17,426.8,34.8,26152.4,1085.7,3825.4
2014,Brazil,15.36,447.3,29.6,14854.7,591.9,1283.0
2015,Brazil,14.96,495.1,33.5,18503.7,770.8,3789.2
2016,Brazil,15.61,559.7,20.9,26316.7,1332.6,3422.8
2017,Brazil,15.38,566.6,39.6,11517.7,744.0,923.1
2018,Brazil,15.61,506.4,24.8,16014.7,773.6,2481.3
2019,Brazil,15.65,586.8,39.9,17186.4,1373.6,6087.2
2020,Brazil,16.1,530.9,35.7,14862.8,468.8,3611.0
2021,Brazil,15.51,433.4,28.5,23243.6,1125.7,5897.2
2022,Brazil,15.98,616.1,29.1,15709.3,640.6,4159.2
2023,Brazil,15.89,415.5,46.2,22183.4,590.1,2162.9
1990,Australia,15.7,591.6,24.3,19833.9,454.2,3581.2
1991,Australia,16.47,574.7,25.3,5289.9,452.1,5046.0
1992,Australia,16.37,580.5,26.4,2381.2,684.8,4089.3
1993,Australia,15.88,588.5,26.2,22970.2,1048.3,3859.3
1994,Australia,15.85,620.8,24.4,22827.5,1116.2,3670.8
1995,Australia,15.75,599.7,26.6,25027.2,653.4,2795.6
1996,Australia,16.52,607.3,29.6,11341.0,912.1,4080.3
1997,Australia,17.08,625.3,27.7,25203.1,1403.1,673.5
1998,Australia,16.19,621.9,28.1,10272.2,508.9,4162.7
1999,Australia,16.34,610.1,31.2,15229.1,87.5,372.5
2000,Australia,16.43,588.7,30.3,2099.6,1326.2,1086.4
2001,Australia,16.44,655.9,33.0,15424.8,1263.4,3046.7
2002,Australia,16.32,603.0,39.8,5574.8,1388.4,6363.6
2003,Australia,16.6,679.2,40.2,16430.8,1349.3,2831.3
2004,Australia,16.59,603.4,36.5,4219.6,891.0,5641.4
2005,Australia,16.67,600.1,31.9,24099.7,1388.8,4628.5
2006,Australia,17.08,579.7,31.6,15772.5,415.9,2676.4
2007,Australia,16.32,583.0,39.7,25577.8,920.7,5589.3
2008,Australia,15.95,623.9,41.9,4501.0,1189.3,996.5
2009,Australia,16.77,636.8,31.4,8139.8,1129.6,1311.5
2010,Australia,16.2,659.4,39.1,14017.0,763.2,4210.4
2011,Australia,16.43,562.3,47.7,19440.8,1020.4,4736.1
2012,Australia,16.46,674.9,36.6,25210.2,579.4,2762.7
2013,Australia,17.12,700.7,43.8,4170.4,506.9,5635.1
2014,Australia,16.55,528.1,35.7,16105.7,883.5,3256.6
2015,Australia,16.61,724.7,52.1,11270.4,1219.3,1942.9
2016,Australia,17.11,683.9,53.3,12456.2,919.4,2258.4
2017,Australia,16.95,523.4,53.0,23888.2,653.6,3681.1
2018,Australia,16.9,558.9,44.6,16546.8,220.6,563.9
2019,Australia,16.91,666.6,38.2,14653.5,708.5,6525.8
2020,Australia,16.91,753.2,35.6,30757.1,1005.6,2742.4
2021,Australia,16.92,668.2,50.4,19435.6,1698.0,5627.2
2022,Australia,16.64,648.4,49.8,18956.2,375.5,3415.3
2023,Australia,17.1,780.4,45.3,25107.2,1151.4,3162.7
1990,Canada,21.68,557.8,27.3,1318.9,738.7,934.2
1991,Canada,20.93,560.3,26.0,11491.5,1102.7,3749.9
1992,Canada,21.59,560.5,29.1,4877.7,404.8,1330.2
1993,Canada,20.97,557.7,26.8,16196.8,428.6,1198.8
1994,Canada,21.17,574.0,29.4,10040.2,492.4,1646.7
1995,Canada,21.52,555.4,29.7,25148.8,1072.3,4802.4
1996,Canada,21.07,590.9,29.0,9703.3,430.0,4292.7
1997,Canada,21.64,558.3,30.1,25853.9,530.7,2773.7
1998,Canada,21.21,586.1,30.9,3905.2,282.7,4555.8
1999,Canada,21.79,561.0,36.3,10806.6,213.2,1160.2
2000,Canada,21.28,594.6,28.9,7921.7,890.4,1580.2
2001,Canada,21.42,544.8,28.4,12086.5,647.4,4699.0
2002,Canada,21.09,538.3,34.3,20327.8,139.4,723.1
2003,Canada,21.59,625.3,31.4,19733.4,271.3,1973.0
2004,Canada,21.19,529.1,30.2,23040.5,1242.5,5918.5
2005,Canada,21.55,573.5,33.4,8574.4,827.7,2476.5
2006,Canada,21.77,599.2,36.0,23194.0,982.3,1881.5
2007,Canada,22.0,685.4,32.3,24973.4,1438.3,2065.1
2008,Canada,21.75,609.4,45.5,6029.4,925.9,3788.1
2009,Canada,21.67,703.0,47.2,7502.6,739.0,4289.7
2010,Canada,21.41,642.7,35.2,23726.9,635.8,415.3
2011,Canada,21.71,609.6,32.1,19263.3,163.6,4506.8
2012,Canada,21.61,595.7,50.6,9305.2,1071.3,5227.6
2013,Canada,22.23,561.8,41.4,26279.2,1290.6,1617.1
2014,Canada,21.42,559.1,40.9,6342.3,576.9,5400.0
2015,Canada,22.01,711.0,53.5,24702.5,768.6,3132.9
2016,Canada,22.09,560.1,53.9,16083.5,679.5,4510.9
2017,Canada,21.79,689.7,48.3,4668.3,349.9,3233.8
2018,Canada,21.27,540.4,49.9,14705.6,794.2,5407.7
2019,Canada,22.36,527.9,54.4,28455.3,722.2,2325.3
2020,Canada,22.18,724.1,37.4,14564.5,460.8,1600.9
2021,Canada,22.36,662.4,60.9,14577.8,544.0,1013.1
2022,Canada,22.65,555.5,37.0,23417.9,836.2,6186.2
2023,Canada,21.99,695.6,62.0,18337.8,1021.2,7234.6
1990,United Kingdom,11.96,492.1,27.2,22465.4,969.4,4020.6
1991,United Kingdom,12.41,505.9,26.0,19837.6,660.5,2182.9
1992,United Kingdom,12.23,494.3,30.2,4218.1,542.0,4298.2
1993,United Kingdom,12.95,516.7,29.4,19530.4,383.8,3111.4
1994,United Kingdom,12.63,517.0,30.0,22348.7,810.8,3771.8
1995,United Kingdom,12.66,530.1,30.8,4464.8,271.9,4542.7
1996,United Kingdom,12.36,500.5,32.1,16798.4,307.3,3370.2
1997,United Kingdom,12.1,529.0,31.9,22987.1,256.9,4787.9
1998,United Kingdom,12.54,486.5,30.8,4669.4,507.4,1387.9
1999,United Kingdom,13.18,510.4,30.3,4259.4,785.8,5030.7
2000,United Kingdom,13.15,561.7,33.7,7333.8,412.1,540.8
2001,United Kingdom,12.16,549.2,31.4,24390.1,748.5,2539.8
2002,United Kingdom,12.78,474.3,36.3,15232.2,205.0,1398.0
2003,United Kingdom,12.57,551.1,39.9,9168.2,1177.8,2678.1
2004,United Kingdom,12.47,502.1,33.1,21733.3,729.9,4575.9
2005,United Kingdom,12.35,531.9,35.2,5211.4,112.1,6540.0
